C1, 10.46, 48.58, 0.00, 1000uF 10V, UD-10X10_NICHICON
C4, 53.34, 38.10, 180.00, 2.2uF, 25V, C1206
D1, 6.35, 37.78, 0.00, SS14F, SMA-DIODE
D2, 62.55, 16.83, 90.00, SS14F, SMA-DIODE
D3, 6.35, 13.34, 0.00, SS34, SMA-DIODE
IC2, 50.80, 21.27, 0.00, ULN2003AD, SO16
IC3, 22.86, 21.27, 0.00, ULN2003AD, SO16
R1, 17.78, 34.77, 90.00, 330R, R0805
R10, 48.26, 34.77, 270.00, 330R, R0805
R11, 30.48, 34.77, 90.00, 10k, R0805
R12, 27.94, 34.77, 90.00, 10k, R0805
R13, 14.61, 35.69, 0.00, 330R, R0805
R2, 20.32, 34.77, 90.00, 330R, R0805
R27, 55.56, 30.48, 0.00, 200R, R0805
R28, 55.56, 33.02, 0.00, 47R, R0805
R3, 22.86, 34.77, 90.00, 330R, R0805
R30, 59.37, 27.62, 0.00, 200R, R0805
R4, 25.40, 34.77, 90.00, 330R, R0805
R5, 33.02, 34.77, 90.00, 330R, R0805
R6, 35.56, 34.77, 90.00, 330R, R0805
R7, 38.10, 34.77, 90.00, 330R, R0805
R8, 43.18, 34.77, 90.00, 330R, R0805
R9, 45.76, 34.78, 90.00, 330R, R0805
